ATEN,15.45,20
ATEX,32.19,35
ATGE,46.66,50
ATI,41.37,45
ATKR,150.5,200
ATNI,33.8,35
ATO,112.55,150
ATRA,1.82,2
ATRC,43.52,45
ATRI,432,450
ATRO,16.7,20
ATUS,3.3,4
ATVI,95,100
AUPH,7.83,8
AVA,32.74,35
AVAV,112.53,150
AVB,177.56,200
AVGO,917.71,1000
AVIR,3.22,4
AVNS,20.45,25
AVNT,35.31,40
AVT,49.59,50
AVTR,22.28,25
AVXL,6.63,7
AVY,187.02,200
AWH,6.04,7
AWI,73.5,80
AWK,123.49,150
AWR,80.68,90
AX,38.36,40
AXGN,5,6
AXNX,59.79,60
AXON,221.21,250
AXP,152.69,200
AXSM,71.28,80
AXTA,28.06,30
AYI,183.66,200
AYX,38.3,40
AZEK,29.87,30
AZN,69.01,70
AZO,2600.12,3000
AZPN,205.66,250
AZTA,51.81,60
BA,199.56,200
BABA,88.79,90
BAC,27.67,30
BAH,127.87,150
BALL,50.86,60
BAND,11.63,15
BAS@DE,55.41,60
BAST,1,2
BAX,37.62,40
BAYN@DE,47.03,50
BBIO,27.2,30
BBSI,95.3,100
BBY,72.14,80
BC,79.55,80
BCC,103.28,150
BCE,38.46,40
BCO,75.01,80
BCPC,127.1,150
BCRX,7.05,8
BDC,97.2,100
BDTX,2.96,3
BDX,269.43,300
BE,13.52,15
BEAM,24.14,25
BECN,78.57,80
BEN,24.75,25
BERY,61.97,70
BF B,58.18,60
BFAM,84.24,90
BFH,34.31,35
BG,108.25,150
BGNE,187.09,200
BGS,9.89,10
BH,167.3,200
BHF,49.05,50
BIDU,136.25,150
BIG,5.19,6
BIGC,10.23,11
BIIB,268.44,300
BIL,91.68,100
BILI,15.29,20
BILL,118.66,150
BIO,366.04,400
BJ,71.4,80
BJRI,23.64,25
BK,42.82,45
BKNG,3114.51,3500
BKR,35.58,40
BKU,22.67,25
BL,55.98,60
BLD,256.33,300
BLDP,3.89,4
BLDR,126.53,150
BLK,652.91,700
BLKB,70.87,80
BLMN,24.69,25
BLNK,3.49,4
